episode_id,match_type,winner,survival_time,end_reason,bt_final_hp,rl_final_hp,bt_attack_count,bt_block_count,bt_dodge_count,bt_hit_count,bt_miss_count,rl_attack_count,rl_block_count,rl_dodge_count,rl_hit_count,rl_miss_count
0,RL_vs_baseline,RL,59.38,death,0,80,14,17,10,1,13,17,17,11,5,12
1,RL_vs_baseline,draw,59.99,timeout,40,80,13,17,10,1,11,17,18,11,3,14
2,RL_vs_baseline,RL,56.76,death,0,60,14,15,10,2,12,15,16,11,5,10
3,RL_vs_baseline,RL,41.47,death,0,80,9,11,7,1,8,11,11,8,5,6
4,RL_vs_baseline,draw,59.97,timeout,40,20,12,15,10,4,7,15,15,11,3,12
5,RL_vs_baseline,RL,52.62,death,0,80,10,12,9,1,9,14,15,10,5,9
6,RL_vs_baseline,draw,59.94,timeout,40,60,13,15,9,2,10,16,16,11,3,13
7,RL_vs_baseline,RL,59.89,death,0,80,14,16,10,1,13,16,18,11,5,11
8,RL_vs_baseline,baseline,52.07,death,20,0,10,12,9,5,5,13,13,10,4,9
9,RL_vs_baseline,RL,57.63,death,0,80,13,16,10,1,12,16,16,11,5,11
10,RL_vs_baseline,draw,59.97,timeout,40,60,9,15,11,2,7,15,14,11,3,12
11,RL_vs_baseline,draw,59.92,timeout,80,100,10,15,8,0,10,14,16,11,1,13
12,RL_vs_baseline,RL,37.52,death,0,100,7,9,6,0,7,9,10,7,5,4
13,RL_vs_baseline,draw,59.99,timeout,40,100,16,18,10,0,16,17,18,11,3,14
14,RL_vs_baseline,RL,44.74,death,0,80,12,12,8,1,11,12,13,9,5,7
15,RL_vs_baseline,RL,51.90,death,0,100,11,14,9,0,11,14,15,10,5,9
16,RL_vs_baseline,RL,51.69,death,0,80,14,15,9,1,13,15,16,10,5,10
17,RL_vs_baseline,RL,54.43,death,0,100,11,15,9,0,11,15,15,10,5,10
18,RL_vs_baseline,draw,60.01,timeout,40,80,17,18,10,1,16,19,19,11,3,15
19,RL_vs_baseline,draw,59.98,timeout,40,100,13,17,10,0,13,17,17,11,3,14
20,RL_vs_baseline,RL,48.53,death,0,60,12,13,9,2,10,13,14,9,5,8
21,RL_vs_baseline,draw,59.98,timeout,20,80,14,16,10,1,13,16,17,11,4,12
22,RL_vs_baseline,draw,59.94,timeout,40,100,13,18,11,0,13,18,18,11,3,14
23,RL_vs_baseline,draw,59.90,timeout,20,80,15,15,11,1,14,17,18,11,4,12
24,RL_vs_baseline,draw,59.99,timeout,100,40,12,17,10,3,9,17,17,12,0,17
25,RL_vs_baseline,RL,50.62,death,0,100,12,14,9,0,12,14,14,10,5,9
26,RL_vs_baseline,draw,59.99,timeout,60,60,15,15,10,2,12,16,18,11,2,14
27,RL_vs_baseline,draw,59.94,timeout,100,40,14,17,10,3,11,17,17,11,0,16
28,RL_vs_baseline,draw,59.98,timeout,20,20,13,13,11,4,9,15,16,11,4,11
29,RL_vs_baseline,draw,59.98,timeout,20,100,9,14,11,0,9,14,15,12,4,10
30,RL_vs_baseline,RL,56.15,death,0,100,11,15,10,0,11,15,16,11,5,10
31,RL_vs_baseline,RL,58.12,death,0,100,11,16,10,0,11,16,16,11,5,11
32,RL_vs_baseline,draw,59.98,timeout,80,40,9,15,10,3,5,14,16,11,1,12
33,RL_vs_baseline,draw,59.97,timeout,40,100,11,15,11,0,11,14,16,11,3,11
34,RL_vs_baseline,RL,55.15,death,0,60,11,13,10,2,9,13,14,11,5,8
35,RL_vs_baseline,draw,59.96,timeout,80,60,15,18,10,2,12,18,19,11,1,17
36,RL_vs_baseline,draw,59.94,timeout,20,80,14,17,10,1,13,17,17,11,4,12
37,RL_vs_baseline,draw,59.98,timeout,60,20,11,15,11,4,6,15,15,11,2,12
38,RL_vs_baseline,draw,60.00,timeout,40,80,16,18,10,1,15,17,18,11,3,14
39,RL_vs_baseline,draw,59.99,timeout,60,100,20,21,11,0,20,21,21,11,2,19
40,RL_vs_baseline,draw,59.95,timeout,80,100,15,18,10,0,14,18,19,11,1,17
41,RL_vs_baseline,draw,59.95,timeout,40,100,13,17,10,0,12,17,18,11,3,14
42,RL_vs_baseline,draw,59.89,timeout,80,60,13,16,10,2,11,16,17,11,1,15
43,RL_vs_baseline,draw,59.96,timeout,80,80,17,19,10,1,16,19,19,12,1,17
44,RL_vs_baseline,RL,46.20,death,0,60,11,13,8,2,9,13,13,9,5,8
45,RL_vs_baseline,RL,53.45,death,0,80,12,15,9,1,11,15,15,10,5,10
46,RL_vs_baseline,RL,46.02,death,0,80,9,12,7,1,8,12,12,9,5,7
47,RL_vs_baseline,draw,59.98,timeout,40,100,15,17,11,0,15,17,18,12,3,14
48,RL_vs_baseline,RL,55.55,death,0,80,12,13,10,1,11,14,15,11,5,9
49,RL_vs_baseline,draw,59.94,timeout,60,80,13,16,10,1,12,16,16,12,2,14
